Name,overall_ratings,tota_no_ratings,total_no_review,five-star,four-star,three,two-star,one-star,reviews
OnePlus Y1 Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32HA0A00),4.3,,"7,217 Reviews","49,967","18,428","5,192","1,507","5,041","This review is after long-term usage of 6 months, the video quality on this TV is really good especially in this range- the color production, and sound quality is good too...you can really enjoy watching series on this TV. It is really light and there is virtually no bezel- the design is really good! The remote is really simple to use and lightweight, and the user interface is smooth and easy. One great thing about this TV is Oxygen play where you can find all the content in one place....and ...READ MOREAt this price point, the TV is good to have with easy connectivity and setup.Picture quality is good for the led screen(however you can compare another tv in the same segments).The sound is good although Dolby impressions I couldn’t get in the first use(perhaps need to check more).Remote is clean and minimalistic and easy to use.Connectivity is good, able to connect to wifi via router and hotspot and the connection stays and works perfectly fine. Able to use any streaming services without...READ MOREIt is superior TV. Working on android pie .You can also use Oxygen play interface for a content centric view.It has good voice command Bluetooth base remote control.This TV incorporated with Gamma engine with MEMC , Super resolution , colour space mapping , dynamic contract . Connecting options with Wi Fi , Bluetooth , HDMI , ethernet are very quickly n fast response .Highly recommended for your future TV...😊😊READ MOREA very nice Tv with many adjustments and a best sound quality and also nice used with Google assistants.. Highly recommended by me. ☺️READ MOREOnePlus always brings to us all those high end tech device s at such an amazing prices . They has turned out be a blessing for families like me with such products . I am very happy with the product 43"" TV . I have ordere it for my Mom , :- The UI and ease of use for old lady coming from non tech era >>>>>:- The sound quality is just superb :- Some improvement can be done for connectivity with other smart devices . :- Ease of installation So happy with flipkart also for delivery to small...READ MOREThank you Flipkart amazing product 1+ TV new model  Awesome product I m happy 1+ TV super quality one days used nice product this range everything is okREAD MOREIt's pretty good n with oosaammmm clarity .....  One word to describe - value for money 💰READ MOREGreat tv.. just got my order within one day and picture quality outstanding, no connectivity issue, sound quality not best but its great in this range, looks high quality branded tvREAD MOREGreat product for the price... Note: The only draw back in the 40inch version - doesn't have HDMI ARC like other models (32/43/55) I wonder why this is not an option on this model.Overall, a great product for this price range!READ MOREVery good picture quality.. And sound is much good than other led tv's because there is dolby speakers in it...thank u thank u so much..❤❤😍😍😍READ MORE"
OnePlus Y1 Series 108 cm (43 inch) Full HD LED Smart Android TV  (43FA0A00),4.3,,"7,217 Reviews","30,313","12,108","3,223",986,"2,571","Very Good Picture Quality with a decent sound system. You can surely go for this product in this price range. Good delivery by Flipkart.READ MORENice one at this price good Samsung 🙏🙏🙏🙏My first Samsung led tv 📺 Befor I always use lg but this time Samsung I’m happy with Samsung led tv great job by Samsung and the Flipkart Thank you 🙏 Flipkart to deliver in this lockdown also little bit late but great work by Flipkart Good luck 😉READ MOREoverall is good compare to price, pictures quality is good but not hd intertnet options are also good it affordable and goodREAD MOREAfter watching 3-4 days on this led tv.. I found it good worth of money.. Picture quality is awesome and clear.. Sound is good and not need to connect any other speaker because the output of the TV speakers is enough to enjoy a loud sound experience. Connectivity options are good and quick.. Overall I will recommended it to buy  over Mi, realme and other similar brands..READ MOREWow!!! I am very surprised about it. It is very awesome and nice picture quality and like of Full HD but it is HD. It is Ultra HD + HDR, Deep Colour (True beautiful Colour) I am extremely happy and mind blowing. Thank Flipkart Service. I already giving rating of 5/5 🔥.Picture/Sound/Connect or all are rating of 5/5 🔥🔥🔥READ MOREReally awesome tv best quality very good sound... Just go for it guys bcz its very bettet than mi TV.  Very low prize best quality tv great and tqq flipkartREAD MOREGo for it Nice 32 inch tv by our old trusted brand SamsungSamsung make TV's from CRT edition to now QLEDAnd then Samsung service any where by their experts was goodOn last I want to say if any one want to buy tv remember this points:*Go for a trusted brand who gave good after sale service  because this was a tv not a mobile which we donot change after 2 or 3 years.*Check ratings from inside like picture, sound, connectivity.*Check online reviews ,video etcREAD MOREConnecting with pc is best ...... Netflix working very better and sound quality is also best .Hd support is very best .....1080 p with youtube is awesomeInstallation done in 2 daysREAD MOREValue for money.. Pros: Picture quality and different picture modes.Sound quality is beyond expectations.Have all the necessary apps and you can also download them.Smooth interface, not too much lag.Cons:Casting: sometimes picture/video doesn't show while casting.Thick besels in 2020.Overall I would say it's a fantastic product from Samsung. Happy that I didn't buy the cheap Chinese alternatives. Go for it if 32 inch hd ready smart tv is your choice. Loved the product...READ MOREI was in hurry to buy and I don't find any Bette deal like this. Samsung has trusted customer value so, I go for it. Actually there are so many options but price difference of 1k to 2k I don't want to take chance for chinese brand. So I opted for this and satisfied. My kid love it and it's compact size fits in my bedroom easily.READ MORE"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV  (UA32T4340AKXXL / UA32T4340BKXXL),4.4,,"4,462 Reviews","49,967","18,428","5,192","1,507","5,041","This review is after long-term usage of 6 months, the video quality on this TV is really good especially in this range- the color production, and sound quality is good too...you can really enjoy watching series on this TV. It is really light and there is virtually no bezel- the design is really good! The remote is really simple to use and lightweight, and the user interface is smooth and easy. One great thing about this TV is Oxygen play where you can find all the content in one place....and ...READ MOREAt this price point, the TV is good to have with easy connectivity and setup.Picture quality is good for the led screen(however you can compare another tv in the same segments).The sound is good although Dolby impressions I couldn’t get in the first use(perhaps need to check more).Remote is clean and minimalistic and easy to use.Connectivity is good, able to connect to wifi via router and hotspot and the connection stays and works perfectly fine. Able to use any streaming services without...READ MOREIt is superior TV. Working on android pie .You can also use Oxygen play interface for a content centric view.It has good voice command Bluetooth base remote control.This TV incorporated with Gamma engine with MEMC , Super resolution , colour space mapping , dynamic contract . Connecting options with Wi Fi , Bluetooth , HDMI , ethernet are very quickly n fast response .Highly recommended for your future TV...😊😊READ MOREA very nice Tv with many adjustments and a best sound quality and also nice used with Google assistants.. Highly recommended by me. ☺️READ MOREOnePlus always brings to us all those high end tech device s at such an amazing prices . They has turned out be a blessing for families like me with such products . I am very happy with the product 43"" TV . I have ordere it for my Mom , :- The UI and ease of use for old lady coming from non tech era >>>>>:- The sound quality is just superb :- Some improvement can be done for connectivity with other smart devices . :- Ease of installation So happy with flipkart also for delivery to small...READ MOREThank you Flipkart amazing product 1+ TV new model  Awesome product I m happy 1+ TV super quality one days used nice product this range everything is okREAD MOREIt's pretty good n with oosaammmm clarity .....  One word to describe - value for money 💰READ MOREGreat tv.. just got my order within one day and picture quality outstanding, no connectivity issue, sound quality not best but its great in this range, looks high quality branded tvREAD MOREGreat product for the price... Note: The only draw back in the 40inch version - doesn't have HDMI ARC like other models (32/43/55) I wonder why this is not an option on this model.Overall, a great product for this price range!READ MOREVery good picture quality.. And sound is much good than other led tv's because there is dolby speakers in it...thank u thank u so much..❤❤😍😍😍READ MORE"
LG 80 cm (32 inch) HD Ready LED Smart TV  (32LM565BPTA),4.4,,"3,243 Reviews","22,907","8,614","2,405",788,"1,704","Beautiful Product and it’s best in this price range.. LG is best in electronics and Picture quality is awesome 👍READ MORELg is always first choice for me and you can also undoubtedly buy this LG smart TV.. It provides very good picture quality and connectivityIt looks classy and slim. Sound should have been little more and clear. Remote control is also very goodNo Bluetooth connectivityNo magic remoteREAD MOREGood picture quality good Saund good all LG brands from India I love my India flip cart tnx.......READ MORETv is good and build quality is superb.Sound quality-5/4Picture quality-5/4Mobile connectivity-5/5Wifi work fine also DTS.But I thik LG tv has low contrast not like Samsung.lg not provide smart remote with tv.READ MOREBest TV within the range of 17000.Good things in this tv .1.you can connect your mobile to as a cast(wireless display) . Then your TV become as a mobile . If your mobile gone sleep mode also but tv will play continue.2. Connecting to hotspot are very good .3. In remote there are lot of shortcut options .4.youtube video quality also adjustable .5. new type of installation , you can rotate the TV any direction .6. Overall performance are very good.Must buy ...best in market.READ MOREI like it . Best tv . Value for money . Delivery is also quick, 1day installation ... Overall it is a good choice to buy this TV from Flipkart... Thnks Flipkart .READ MOREI received nice product in best price thanks Flipkart for providing this best smart TV..READ MORE1- Superb TV And outstanding Performance compared to its price.2 - Picture quality and sound quality is too good with its 10 w speaker.3 - Connectivity is very fast.4 - Those who are facing difficulty in sound and picture quality , use the hd setup box and hdmi cable to connect setup box and tv , then only you will get better experience of sound and picture quality.5 - Only one cons is that it has no Bluetooth connectivity.READ MOREReally it's value for money. Picture quality is excellent & even though sound output is 10 W, that is enough, feels like no need of 20 W sound output. Best for watching Netflix & other OTTs.READ MOREGood product and good service by LG just loved it. Value for money go for it. It has the mobile casting feature.READ MORE"
OnePlus Y1S Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32HD2A00),4.1,,7 Reviews,45,15,7,2,10,Very Nice ProductREAD MORELikeREAD MOREGreatREAD MOREOkREAD MOREGood productREAD MORETotal disappointed 😞READ MOREHighly disappointed. Picture quality not good. Screen cast problem.. sound quality good.. i don don’t recommend to buy this I return this product within 4 days.READ MORE
OnePlus Y1 Series 100 cm (40 inch) Full HD LED Smart Android TV  (40FA1A00),4.3,,"7,217 Reviews","49,967","18,428","5,192","1,507","5,041","This review is after long-term usage of 6 months, the video quality on this TV is really good especially in this range- the color production, and sound quality is good too...you can really enjoy watching series on this TV. It is really light and there is virtually no bezel- the design is really good! The remote is really simple to use and lightweight, and the user interface is smooth and easy. One great thing about this TV is Oxygen play where you can find all the content in one place....and ...READ MOREAt this price point, the TV is good to have with easy connectivity and setup.Picture quality is good for the led screen(however you can compare another tv in the same segments).The sound is good although Dolby impressions I couldn’t get in the first use(perhaps need to check more).Remote is clean and minimalistic and easy to use.Connectivity is good, able to connect to wifi via router and hotspot and the connection stays and works perfectly fine. Able to use any streaming services without...READ MOREIt is superior TV. Working on android pie .You can also use Oxygen play interface for a content centric view.It has good voice command Bluetooth base remote control.This TV incorporated with Gamma engine with MEMC , Super resolution , colour space mapping , dynamic contract . Connecting options with Wi Fi , Bluetooth , HDMI , ethernet are very quickly n fast response .Highly recommended for your future TV...😊😊READ MOREA very nice Tv with many adjustments and a best sound quality and also nice used with Google assistants.. Highly recommended by me. ☺️READ MOREOnePlus always brings to us all those high end tech device s at such an amazing prices . They has turned out be a blessing for families like me with such products . I am very happy with the product 43"" TV . I have ordere it for my Mom , :- The UI and ease of use for old lady coming from non tech era >>>>>:- The sound quality is just superb :- Some improvement can be done for connectivity with other smart devices . :- Ease of installation So happy with flipkart also for delivery to small...READ MOREThank you Flipkart amazing product 1+ TV new model  Awesome product I m happy 1+ TV super quality one days used nice product this range everything is okREAD MOREIt's pretty good n with oosaammmm clarity .....  One word to describe - value for money 💰READ MOREGreat tv.. just got my order within one day and picture quality outstanding, no connectivity issue, sound quality not best but its great in this range, looks high quality branded tvREAD MOREGreat product for the price... Note: The only draw back in the 40inch version - doesn't have HDMI ARC like other models (32/43/55) I wonder why this is not an option on this model.Overall, a great product for this price range!READ MOREVery good picture quality.. And sound is much good than other led tv's because there is dolby speakers in it...thank u thank u so much..❤❤😍😍😍READ MORE"
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,4.3,,"1,038 Reviews","6,180","2,261",605,173,764,"Review update on 06/03/2022  Received software update few days back , sound is good and audio quality has improved , lagging has reduced 👍Mi TV 5x 55” delivered on 09/09/2021 & installed on 10th , everything was smooth , TV has a good rich feel with near bezel less Metal frame design , the new adaptive brightness feature is really good , adjusts according to our room lighting making viewing pleasant to eyes , ok google works well , audio is ok not great , some apps volume is good but apps ...READ MOREVery good TV. Decent picture quality and sound effect. Value for money. I am just expecting this TV to work for 4 years.READ MOREPros:1. Picture quality is perfect(I think it is better than its competitors at this price range)2. 4k videos can play perfectly fine.3. Bezels are thin.(for people who don't like thick bezels it's a perfect tv).4. Patchwall looks goodCons:1. The biggest con of this tv is SPEAKERS. I have got 43"" tv which has 30 w speakers (believe me my old CRT tv can produce better sound than this). I think all those Dolby Atmos and stuff are gimmicks. If sound is ur mail priority don't go for this t...READ MORESuper awesome  mine is 55inch tv got delivered next day of Order but installation is very badd no response from Flipkart. So finaly called mi store and they did it in same day. And coming to tv specs are awesome1. Sound is good but bass is not great2 picture quality is awesome 3 adaptive Brightness is not that good but it's fine u can enjoy it4 connectivity is fine ok ok5 tv design is awesome but u may feel light electric shocks on corners when u touch as it's made of metal6. Patch wall...READ MOREComing straight to the point, the tv feels a bit laggy at times. Switching apps takes time. The sound is not upto the mark, tried all settings available to optimize but couldn't. You definitely have to use a soundbar for better experience. I also noticed a bug, the tv automatically redirects to patchwall while playing YouTube videos. Happened once.Another bug I saw, while switching from SD to HD channel, the auto-scalling cropped half of the screen for a while. Switched it off and then on ag...READ MOREGreat Buy.!I was in confusion after seeing the ratings given by people but still i went for it.And i must say the TV is great and i am happy with it completely.I have 50 inch varient.Display- details are great. Red colour is a bit overwhelming, but after a few tweaks in the Picture settings it is absolutely stunning. Watching cricket matches, movies is absolute delight.you can increase the backlight and adjust contrast,brightness as per your liking.Sound-Sound is great but i would reco...READ MOREPosting this review after using this TV for 8 days..1.Picture quality is just awesome. Every pixel is clear.4k 8k videos just gives you awesome feel.2.Sound quality is better than previous MI 20w speakers, Sound is loud as this TV having 40w speakers but I am not happy with bass of these speakers. Should have more bass with this price range.3.Connectivity is good. I am using with 200mbps wifi. Remote is smooth and Google assistant is working excellent.4. Patchwall and other features a...READ MOREI was confused between samsung Crystal 55 UHD and Mi 5x 55 UHD,  by oaying a premium of 5000 i could have bought samsung easily and it us a reouted brand too, so i was on the way of research, watched a lot of vudeos, camparisons, separate reviews, and i came to the conclusion, anyway both tvs are using VA panels, and my sudden thought was a TV which costs premium of 40k plus still having VA, it cant acceptable but since almost evwry manufactures use same tech we cant complain, if you have lit...READ MOREI have been planning to buy tv from 3 months and atlast I choose Mi 5x which is an all rounder in this price segment.Pros:-1)Picture quality is very good and very accurate2)Adaptive brightness is impressive but there is a con too..3)New patchwall is just awesome but a very few lags which may be resolved with an update.4)Metallic design makes the tv very stylishCons:-1)Sound is very flat and not that good ( No bass )2)Adaptive brightness sometimes not is very low responsive which I O...READ MOREDon't listen to all the reviews and all that BS about the panel being not bright enough for HDR or won't be visible in areas with too much natural light. The tv viewing experience is very good albeit the sound is ok, the bass is not boomy if you are wondering that. If you are buying this tv i would suggest you to invest in a good soundbar or a home theatre system. Coming from a Sony 3d tv to this is not at all a disappointment. If you are going to buy this tv you won't be disappointed. And al...READ MORE"
acer Boundless series 80 cm (32 inch) HD Ready LED Smart Android TV with FRAMELESS DESIGN  (AR32AP2841HDFL),4.4,,273 Reviews,"1,199",299,85,22,102,"Acer is a Taiwan company, & the indian importer belongs to INDKAL TECHNOLOGIES, ANDRA PRADESH, SUPERB  led tv  compare  to  high price  of  sony, samsung ,  its  a budget  led  go  buddies with  no more  doubt, another  point  is  led  tvs are too  good  in  watching  HD  CHANNEL  NONE  IF THAN  HD R  CABLE.READ MOREIt's a great product. First time I bought TV and honest review...! Very good PICTURE 🖼️ quality and sound performance superb..!🤗🤗 Don't  hesitate buy.. Awesome acer TV.. I suggesting to buy this acer TV..This TV is first time released by acer..👍😁😁READ MOREFirst time i bought TV and honest review..! Very good PICTURE quality and SOUND performance superb.. Don't hesitate to buy.. Awesome acer TV😎. I'm suggesting to buy this TV. This TV is first time released by acer.READ MOREIt's a great product. Watched for 3 he hd content and it has outstanding clarity. In love with the new TV and it's nice and good value for money. Hurraayyyy.READ MOREAcer boundless tv is great 32"" and picture quality is good acer doing good work and thanq Flipkart ❤️❤️❤️❤️❤️❤️❤️❤️READ MOREThe led is awesome product value for moneySound quality is good , picture quality & connectivity is good I like the productREAD MOREBrand is Acer so buying a SMART TV in it was a no brainer.Bought the product on the 25nd and got the delivery on the 31th.AHS came and installed it on the same day.Observations so far1. Amazing picture quality, with natural full colours and brightness, is really great2. Operating system is android working well 3. Sound output is what impressed me the most. Amazing sound for a TV in this segment.4. Remote is sleek and easy to use. Hotkeys for Netflix & Prime are helpful. Something new i...READ MOREI am fully satisfied with flipkart delivery, installation and customer service, they deliverd and installed tv before delivery date.  But the product quality is not up to acer brand level color and picture qualities are not up to the marks.my previous Mi tv is much better than this.there prices are not stable.in 10000 budget it can be bought but if u have 12000+  budget then always go for some other brand like Mi, redmi, realme or samsung etc.READ MOREBetter than iffalcon in terms of connectivity and pictures quality. Sound is great and 4 k picture quality in Utube superb. Moreover Acer is a trusted brand.  My advice... Please take additional 2 yrs warranty also.READ MOREGoodREAD MORE"
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame  (32UA),4.3,,104 Reviews,499,192,41,18,63,"All are good except app support and connectivity. There is no playstore to download apps. It is not supporting aha app and Disney+ hotstar app.   If anyone wants good connectivity and app support don't buy this tv go for mi or realms tv or any other tvsREAD MOREDon't buy this product, they are in the name of smart TV,  Quality is okay, sound is okay, not good for wall installation.Not Supported Popular apps like Hotstar, Voot etcREAD MOREOne of the best and best TV in the market.It has all the high end features which are available in other big brands TV like Sony,Samsung,LG etc.Picture quality is superb and sound quality is alsoDolby digital.READ MOREAs per price value product is UP TO THE MARK..READ MOREVery good product .Buy this product about price.READ MOREOokREAD MOREVery nice product go for it velue for money picture quality suparbREAD MORENice tv at this price good picture quality dolby sound please go for itREAD MORESuper quality led don't think too much go for it 👌🤪READ MOREValue for money go for itREAD MORE"
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,,"66,778 Reviews","3,068","1,161",234,81,395,"Picture - 10/10Sound - 9/10Connectivity - 9/10Guys please go for voice assistant enabled tv otherwise you will have to press lot more buttons than usual and that is a big problem . Rest everything is great as expected. The picture is great , sound is good for 120 sq ft room . All features are user friendly and operates with ease.READ MOREVery impressive picture quality .Good color balance and  video presets are available unlike some tv's where colors are more defined for watching soaps and reality shows(by default). Connectivity is great. Connets to 2.5 as well as 5ghz wifi band . Remote operation is intuitive. Software experience is good. There is no voice asistance ( only available in pro i think) but its not a deal breaker for me. The hdfc cashbacks and flipkart plus discounts makes it a very lucrative deal.  Sound is ov...READ MOREIt's a very good product. Working fine with great picture quality. Sound is good with only 20W speakers.READ MOREAll good. But one thing. Improve the sound quality. Thats nit upto the mark. Good delivery by flipcart. East installation on the same day. Picture quality superb. Just unsatisfied with sound quality. Samsung need to work if they have to survive.READ MOREExcellent product. Excellent delivery & installation. You just need a good internet connection to enjoy this television. One of the best in the category.READ MOREExcellent picture qualityREAD MOREBest in this price range. Amazing picture quality. Audio is also good (better with a sound bar). Awesome build quality. Highly recommended.READ MOREBudget 4K ULtra smart LED in this Timely delivered and free installed.READ MOREI had to choose between samsung and other brands like LG, Kodak, Vu. Ultimately went with samsung for peace of mind. Picture and sound quality is great. With a good internet connection, the picture quality is amazing and connectivity is not an issue barring the need to end the app in ipad and restart to airdrop the content. Use smart things to connect your tv to google home and use your mobile as remote. The 43 inch tv makes it easier to use it from my bedroom too. Loving itREAD MOREIncredible product. The same series casts more than 60k in retail stores, so make sure you buy this one online. The packaging for good and the installation was very quick. Got this product on 21st June and the installation happened the very next day.Great picture and sound quality. Overall I am super satisfied after spending this much money Must buy for those who want a 50 inch plus TVREAD MORE"
